


11111110		FE
11111110		FE
11000000		C0



Start LPG listening ....
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11000000		C0
11100000		E0
11111000		F8
11111000		F8
11100000		E0
11111100		FC
11111100		FC
11111000		F8
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11000000		C0
11100000		E0
11111100		FC
11111110		FE
11111110		FE
10000000		80
11000000		C0
11100000		E0
11111100		FC
11100000		E0
11111100		FC
11111000		F8
11100000		E0
11111000		F8
11100000		E0
11111100		FC
11111000		F8
11000000		C0
11100000		E0
11111000		F8
11110000		F0
11000000		C0
11100000		E0
11111100		FC
10000000		80
11000000		C0
11100000		E0
11111100		FC
11111000		F8
10000000		80
11000000		C0
11100000		E0
11111000		F8
11111000		F8
11111000		F8
11000000		C0
11100000		E0
